Year,Airport,Flights A-Domestic,Pax A-Domestic,Cargo A-Domestic,Flights D-Domestic,Pax D-Domestic,Cargo D-Domestic,Flights A-international,Pax A-international,Cargo A-international,Flights D-international,Pax D-international,Cargo D-international,Flights,Pax,Cargo
2021.0,DWD,191.0,5338.0,81.7,190.0,5553.0,81.7,0.0,0.0,0.0,0.0,0.0,0.0,381.0,10891.0,163.4
2021.0,EAM,2559.0,238356.0,0.0,2558.0,247923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5117.0,486279.0,0.0
2021.0,EJH,587.0,18159.0,0.0,579.0,18835.0,0.0,54.0,32.0,0.0,62.0,30.0,0.0,1282.0,37056.0,0.0
2021.0,ELQ,2638.0,216850.0,5.6,2636.0,227946.0,2.2,617.0,46599.0,0.2,620.0,66084.0,0.0,6511.0,557479.0,8.0
2021.0,GIZ,9066.0,775537.0,0.0,9064.0,803882.0,0.0,49.0,3127.0,0.0,50.0,4530.0,0.0,18229.0,1587076.0,0.0
2021.0,HAS,2515.0,197635.0,0.0,2522.0,214259.0,0.0,148.0,9189.0,0.0,152.0,12769.0,0.0,5337.0,433852.0,0.0
2021.0,HOF,2722.0,49799.0,0.1,2725.0,49632.0,1.5,18.0,1121.0,0.0,14.0,549.0,0.0,5479.0,101101.0,1.6
2021.0,JED,39013.0,4107189.0,12774.0,38789.0,4052443.0,21600.9,20801.0,2353135.0,105085.2,20997.0,2492949.0,62697.3,119600.0,13005716.0,202157.40000000002
2021.0,MED,7024.0,573690.0,0.0,7100.0,592662.0,0.0,2171.0,235567.0,0.0,2093.0,225469.0,0.0,18388.0,1627388.0,0.0
2021.0,NUM,478.0,2788.0,0.0,483.0,3540.0,0.0,36.0,0.0,0.0,53.0,0.0,0.0,1050.0,6328.0,0.0
2021.0,RAE,1275.0,108325.0,0.0,1283.0,115817.0,0.0,1.0,11.0,0.0,1.0,1.0,0.0,2560.0,224154.0,0.0
2021.0,RAH,302.0,26964.0,0.0,303.0,29278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,56242.0,0.0
2021.0,RGB,13.0,56.0,0.0,13.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,113.0,0.0
2021.0,RUH,46682.0,5118913.0,18570.4,46870.0,5007120.0,11550.5,23217.0,2541097.0,129367.0,23035.0,2761459.0,34857.9,139804.0,15428589.0,194345.8
2021.0,SHW,1059.0,76032.0,0.0,1064.0,75296.0,0.0,5.0,40.0,0.0,0.0,0.0,0.0,2128.0,151368.0,0.0
2021.0,TIF,2745.0,248312.0,3.7,2744.0,246653.0,1.2,159.0,12509.0,0.0,159.0,19508.0,0.0,5807.0,526982.0,4.9
2021.0,TUI,425.0,27103.0,0.1,423.0,28584.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,848.0,55687.0,0.30000000000000004
2021.0,TUU,5176.0,467846.0,0.0,5375.0,500136.0,0.0,172.0,15188.0,0.0,243.0,30782.0,0.0,10966.0,1013952.0,0.0
2021.0,ULH,1081.0,36936.0,0.0,1080.0,35859.0,0.0,66.0,794.0,0.0,65.0,535.0,0.0,2292.0,74124.0,0.0
2021.0,URY,903.0,73964.0,0.0,932.0,84233.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1836.0,158197.0,0.0
2021.0,WAE,530.0,32517.0,0.0,530.0,35714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060.0,68231.0,0.0
2021.0,YNB,1423.0,95849.0,0.2,1420.0,100613.0,0.3,120.0,11613.0,0.0,123.0,12851.0,0.0,3086.0,220926.0,0.5
