,Year,Airport,FlightsA-Domestic,PaxA-Domestic,CargoA-Domestic,FlightsD-Domestic,PaxD-Domestic,CargoD-Domestic,FlightsA-international,PaxA-international,CargoA-international,FlightsD-international,PaxD-international,CargoD-international,Flights,Pax,Cargo
45,2011,TUI,  545 ,"  22,259 ",22.51,  543 ,"  23,825 ",8.85,,,,,,,"  1,088 ","  46,084 ",31.36
46,2011,TUU,"  3,773 ","  373,243 ",1744.69,"  3,772 ","  383,653 ",453.8,  151 ,"  18,568 ",0.0,  153 ,"  18,130 ",0.0,"  7,849 ","  793,594 ",2198.49
47,2011,ULH,  19 ,  585 ,0.0,  19 ,  442 ,2.36,,,,,,,  38 ,"  1,027 ",2.36
48,2011,URY,  819 ,"  70,258 ",316.76,  819 ,"  75,949 ",23.4,,,,,,,"  1,638 ","  146,207 ",340.16
49,2011,WAE,  554 ,"  33,008 ",5.82,  554 ,"  35,548 ",6.68,,,,,,,"  1,108 ","  68,556 ",12.5
50,2011,YNB,"  1,463 ","  102,508 ",203.17,"  1,464 ","  106,808 ",8.65,  638 ,"  68,056 ",0.0,  638 ,"  58,926 ",0.0,"  4,203 ","  336,298 ",211.81
51,2012,ABT,"  1,491 ","  160,031 ",87.57,"  1,493 ","  167,543 ",25.63,,,,,,,"  2,984 ","  327,574 ",113.19
52,2012,AHB,"  8,220 ","  968,612 ",2693.14,"  8,168 ","  989,946 ",1547.87,  917 ,"  84,091 ",59.88,  917 ,"  92,350 ",23.35,"  18,222 ","  2,134,999 ",4324.24
53,2012,AJF,"  1,776 ","  153,950 ",563.35,"  1,774 ","  157,501 ",59.25,,,,,,,"  3,550 ","  311,451 ",622.6
54,2012,AQI,  937 ,"  53,837 ",25.84,  936 ,"  57,891 ",74.29,,,,,,,"  1,873 ","  111,728 ",100.13
55,2012,BHH,"  1,667 ","  165,556 ",104.84,"  1,665 ","  170,752 ",15.68,,,,,,,"  3,332 ","  336,308 ",120.53
56,2012,DMM,"  12,088 ","  1,363,547 ",7243.99,"  12,041 ","  1,363,242 ",3188.3,"  16,063 ","  1,573,788 ",40018.29,"  15,949 ","  1,834,952 ",17985.96,"  56,141 ","  6,135,529 ",68436.55
57,2012,DWD,  216 ,"  9,276 ",2.2,  216 ,"  9,959 ",2.39,,,,,,,  432 ,"  19,235 ",4.59
