Year,Month_short,dom/intl,ABT,AHB,AJF,AQI,BHH,DMM,DWD,EAM,EJH,ELQ,GIZ,HAS,HOF,JED,MED,NUM,RAE,RAH,RGB,RUH,SHW,TIF,TUI,TUU,ULH,URY,WAE,YNB
2016.0,Jul,Domestic,40297.0,259222.0,33691.0,13306.0,31285.0,367717.0,1974.0,89.0,4147.0,62556.0,145711.0,57141.0,18708.0,939182.0,185151.0,0.0,20692.0,6505.0,5.0,1089444.0,19283.0,55971.0,6625.0,93011.0,2059.0,17539.0,9731.0,28507.0
2016.0,Jul,international,0.0,60292.0,16276.0,0.0,0.0,483895.0,0.0,0.0,0.0,102228.0,15939.0,15111.0,14362.0,1544940.0,226220.0,0.0,0.0,0.0,0.0,1042911.0,0.0,68722.0,0.0,26002.0,0.0,0.0,0.0,43292.0
2016.0,Aug,Domestic,41779.0,269958.0,37264.0,13930.0,32570.0,379944.0,1656.0,0.0,4582.0,62221.0,156659.0,65450.0,18605.0,932377.0,174872.0,0.0,21879.0,6752.0,18.0,1090772.0,19227.0,58540.0,6828.0,101944.0,1652.0,17960.0,10804.0,32234.0
2016.0,Aug,international,0.0,60345.0,19339.0,0.0,0.0,533194.0,0.0,0.0,0.0,124838.0,19308.0,19303.0,16760.0,1499346.0,610484.0,0.0,0.0,0.0,0.0,1143548.0,0.0,69394.0,0.0,30701.0,0.0,0.0,0.0,40383.0
2016.0,Sep,Domestic,35024.0,214861.0,32578.0,12576.0,29933.0,357315.0,1848.0,0.0,4398.0,55799.0,140700.0,54440.0,17567.0,856734.0,172121.0,0.0,20408.0,6131.0,7.0,965477.0,19347.0,51362.0,6415.0,92057.0,1908.0,16789.0,9249.0,28029.0
2016.0,Sep,international,0.0,61145.0,16591.0,0.0,0.0,509834.0,0.0,0.0,0.0,114418.0,17525.0,14916.0,15050.0,2064392.0,383465.0,0.0,0.0,0.0,0.0,1079860.0,0.0,72092.0,0.0,27125.0,0.0,0.0,0.0,52422.0
2016.0,Oct,Domestic,28684.0,205947.0,33873.0,15361.0,29963.0,353431.0,2148.0,25.0,3633.0,59128.0,130608.0,55942.0,11110.0,848323.0,157196.0,0.0,21268.0,6064.0,16.0,960381.0,17228.0,47650.0,6370.0,85094.0,1346.0,14200.0,10349.0,30356.0
2016.0,Oct,international,0.0,37112.0,11044.0,0.0,0.0,360436.0,0.0,0.0,0.0,66673.0,13075.0,11616.0,13913.0,1010174.0,295551.0,0.0,0.0,0.0,0.0,826418.0,0.0,39844.0,0.0,15456.0,0.0,0.0,0.0,14527.0
2016.0,Nov,Domestic,37866.0,211579.0,37035.0,17758.0,34010.0,412761.0,2575.0,28.0,4301.0,64478.0,138708.0,56645.0,18446.0,961125.0,177934.0,0.0,22610.0,6767.0,0.0,1078490.0,17316.0,53683.0,6456.0,92441.0,1992.0,16157.0,11204.0,36351.0
2016.0,Nov,international,0.0,31046.0,11261.0,0.0,36.0,384745.0,0.0,0.0,0.0,61521.0,13369.0,8766.0,6785.0,1196221.0,184531.0,0.0,0.0,0.0,0.0,854734.0,0.0,37829.0,0.0,7598.0,0.0,0.0,0.0,15360.0
